225,135,61,71
225,141,58,64
225,137,56,69
221,137,55,66
216,134,58,67
214,131,56,68
213,127,56,70
213,123,58,71
212,118,55,69
210,112,58,73
204,107,60,70
203,105,59,72
203,102,59,70
197,96,62,70
195,94,63,66
191,90,65,67
192,89,57,65
190,91,58,61
190,89,58,62
190,87,59,64
190,89,60,61
191,88,61,64
191,91,60,63
190,94,62,63
190,96,64,64
192,99,62,67
196,104,58,65
197,106,59,70
197,109,62,69
200,107,59,70
200,107,60,69
200,102,64,73
204,100,59,66
204,92,61,71
205,84,62,72
206,78,63,72
207,76,62,70
211,73,61,67
212,72,61,70
213,71,61,72
215,73,61,70
216,75,62,67
215,78,63,70
214,84,63,66
218,87,61,72
217,93,61,71
214,99,66,67
216,106,66,69
215,112,69,69
218,116,65,70
219,121,64,71
221,124,66,72
225,123,62,75
226,119,65,75
230,113,63,77
230,106,66,74
233,98,65,72
237,94,59,66
238,87,59,67
238,85,61,69
241,84,59,65
237,90,62,67
241,93,57,65
241,96,58,67
240,97,62,64
241,102,65,63
240,101,63,62
244,103,63,61
243,100,63,64
245,102,61,61
242,103,66,64
243,108,62,65
250,110,58,64
248,115,57,64
246,115,63,72
249,113,59,72
250,115,60,71
247,112,62,70
249,106,60,70
252,96,58,70
252,87,58,68
257,78,55,65
254,70,61,67
255,62,62,71
257,60,58,66
258,59,59,69
257,62,63,67
259,63,59,59
259,64,61,60
259,64,62,67
259,66,61,65
259,70,64,62
259,75,63,60
259,78,65,62
257,82,65,68
256,83,62,67
255,90,62,64
252,96,63,66
248,98,63,73
243,98,65,75
239,95,67,85
237,91,67,85
233,84,70,83
236,74,64,82
238,63,64,78
240,60,62,69
243,55,60,67
244,57,61,64
248,66,63,60
253,74,62,58
252,75,68,61
257,84,63,59
254,84,69,63
254,89,67,60
250,91,65,54
250,89,71,58
246,87,71,56
245,83,69,62
245,83,67,64
243,87,65,68
243,91,62,72
238,93,69,80
238,98,67,79
236,96,71,85
239,96,70,82
241,88,67,84
247,79,63,84
249,70,65,80
252,66,65,74
255,65,66,67
260,65,62,67
261,71,68,67
267,79,63,65
270,88,61,67
268,96,66,62
268,100,68,60
269,102,67,62
270,101,63,66
268,104,64,65
265,102,62,65
264,99,62,71
261,101,62,71
260,100,59,77
251,101,65,79
248,106,64,75
242,107,63,83
239,109,62,83
237,106,65,82
237,102,64,80
240,93,63,77
246,88,56,71
250,77,56,74
247,70,61,71
250,62,64,77
250,67,73,64
259,75,63,63
259,86,64,60
257,92,69,65
257,100,63,63
256,105,68,60
254,109,66,56
251,105,69,62
250,102,66,60
247,98,64,60
244,94,64,70
240,94,59,71
235,95,63,75
233,102,66,71
232,99,61,77
227,104,65,81
226,106,65,83
224,106,65,78
226,97,63,80
228,88,63,80
229,80,63,80
231,72,67,78
236,68,61,72
238,65,66,67
243,67,66,65
243,72,69,63
242,79,71,61
246,85,67,60
243,91,74,62
247,95,66,67
245,96,67,69
244,96,66,68
242,98,67,64
240,99,68,67
235,100,73,71
238,102,64,73
235,105,67,73
228,104,65,78
227,110,66,75
222,108,72,80
220,106,74,85
218,101,72,82
219,97,73,78
219,84,68,84
221,77,64,79
218,68,68,77
221,60,62,72
220,52,59,75
218,48,64,76
215,48,67,74
213,49,71,71
217,52,67,70
218,54,63,70
216,56,69,71
218,63,63,69
218,66,66,68
217,72,65,69
215,76,69,69
218,83,63,70
217,89,67,71
219,95,66,76
219,100,70,75
221,105,68,73
224,107,65,77
226,110,66,76
226,105,68,75
230,98,66,74
230,93,68,73
234,85,64,72
231,80,70,71
231,72,69,70
232,65,69,73
235,55,63,74
237,48,65,79
239,45,65,74
242,36,65,78
239,33,74,73
245,31,70,76
244,28,70,80
246,28,71,82
245,28,73,87
247,33,71,83
248,33,73,87
248,36,75,94
245,39,80,92
243,46,84,97
246,55,80,95
245,62,81,97
239,64,86,99
238,62,83,101
232,54,86,100
229,48,85,100
222,42,88,98
218,37,87,96
217,32,82,95
212,29,82,95
206,30,84,94
205,33,81,91
200,33,82,93
200,36,76,90
198,40,71,88
197,41,68,86
189,46,74,86
186,49,72,87
181,54,72,83
178,57,72,83
177,58,70,85
170,61,74,87
171,66,72,88
163,68,80,91
160,74,80,91
160,79,81,94
165,79,76,93
165,73,81,98
169,67,83,95
177,55,79,99
181,49,79,95
182,39,84,93
187,33,82,93
190,31,82,89
199,26,77,94
195,25,84,91
199,23,87,88
206,24,85,87
212,20,78,87
216,21,78,86
220,23,78,89
220,26,81,87
226,30,78,87
228,37,79,87
229,38,84,96
237,46,75,96
236,56,77,96
236,68,78,99
227,71,87,102
225,78,84,98
218,73,86,98
212,65,88,98
207,50,85,99
202,37,85,97
197,28,88,98
190,21,86,97
188,18,81,95
182,18,80,92
