122	51	51	61
121	54	52	58
121	54	51	59
122	55	51	58
121	55	52	60
120	56	54	61
120	58	53	58
122	57	50	58
121	56	53	61
119	60	53	55
119	59	53	58
119	59	54	58
121	59	50	58
119	60	53	57
120	58	53	59
121	59	50	57
120	58	54	59
118	60	55	59
119	60	53	58
119	61	54	58
120	61	52	57
119	60	53	58
121	62	50	57
118	62	54	57
120	62	51	57
120	61	50	58
119	64	52	55
120	62	50	58
118	62	52	58
117	63	52	56
117	61	52	56
115	60	53	56
115	58	50	57
113	60	50	54
110	59	52	54
111	56	50	54
107	59	51	51
106	58	53	52
105	58	52	53
106	57	52	53
108	58	50	52
108	57	51	53
107	57	55	51
108	55	52	52
110	55	54	52
112	55	51	49
112	54	52	52
113	54	51	51
111	55	55	53
114	55	54	54
113	56	54	55
115	57	51	56
114	60	53	55
116	60	51	58
114	62	52	58
116	67	49	55
113	68	55	55
114	71	52	55
115	70	52	58
113	75	54	55
113	78	52	53
115	79	50	55
113	79	54	55
113	81	53	57
115	81	51	57
115	83	51	55
117	82	51	58
117	86	52	53
120	85	52	57
121	87	50	55
123	87	52	56
123	87	52	57
125	85	52	57
127	81	52	61
127	81	51	60
125	80	53	58
124	75	55	62
124	74	54	60
125	72	50	59
122	68	52	63
122	69	54	59
122	68	53	59
123	67	52	58
123	66	51	57
123	65	52	58
123	66	53	59
121	65	53	60
120	65	55	59
123	63	50	60
121	63	52	58
121	63	51	55
118	62	52	56
118	59	51	56
118	59	51	56
112	57	56	57
113	58	51	52
111	58	51	51
110	56	51	50
108	56	51	51
106	57	52	50
105	56	51	50
106	56	50	49
103	57	53	49
102	56	54	47
102	56	53	49
103	53	51	51
104	53	50	49
103	53	52	52
104	53	51	53
105	55	52	52
105	56	52	51
107	56	51	53
105	57	53	51
108	56	51	54
108	57	53	55
112	59	48	54
111	60	51	54
111	61	51	55
111	62	53	56
110	63	54	55
114	66	51	55
110	64	54	58
111	65	54	55
114	65	52	58
113	65	54	58
113	67	53	54
115	66	51	58
113	66	53	60
115	66	52	57
113	65	53	57
113	64	53	59
115	65	52	57
114	64	53	57
113	63	52	61
114	64	51	60
113	63	54	59
115	66	51	57
113	65	52	60
111	66	55	56
111	64	52	60
110	64	52	59
108	64	58	60
105	65	57	56
102	63	56	59
103	64	56	57
101	64	55	57
103	65	52	56
105	64	51	59
101	64	56	58
104	65	52	57
102	64	55	60
103	64	55	59
105	65	52	58
103	64	56	60
103	64	56	60
101	64	58	62
107	65	51	61
103	66	58	61
103	66	57	59
105	64	54	59
106	67	52	56
105	66	53	57
103	64	58	61
106	66	53	59
108	65	52	58
108	66	51	55
104	64	55	60
104	66	57	55
108	65	50	57
109	65	48	58
109	64	48	56
103	66	55	55
103	64	55	56
104	64	54	57
101	63	55	56
104	64	50	53
103	62	52	54
106	64	48	53
104	63	49	52
99	62	55	53
102	62	49	54
102	63	49	53
103	64	49	51
101	65	50	51
101	65	51	50
101	65	50	50
103	64	48	51
103	66	49	51
103	66	49	48
102	67	50	49
102	64	50	52
104	66	50	50
103	65	51	50
106	66	47	50
106	67	47	49
105	67	49	49
106	69	49	47
107	70	47	46
107	67	48	51
108	70	46	48
109	70	45	48
110	71	44	49
110	71	44	48
108	72	46	48
112	74	44	46
110	72	45	47
111	74	43	47
111	74	44	46
111	74	42	47
111	76	42	46
111	74	43	47
110	76	42	44
110	75	42	45
108	76	45	46
107	76	45	45
111	75	39	43
105	75	49	46
106	74	47	45
109	74	42	45
108	75	43	44
109	74	41	45
107	73	43	47
106	74	44	45
108	71	41	48
108	74	40	43
104	73	48	47
106	71	41	46
107	72	40	46
105	71	40	47
104	72	43	45
103	72	42	45
104	74	43	43
105	74	41	43
104	73	44	45
103	73	48	47
105	75	43	44
104	75	44	44
104	76	44	44
105	76	42	44
103	75	44	44
105	74	43	45
105	73	44	46
104	74	44	46
104	73	45	46
106	72	45	49
106	73	43	48
104	72	46	51
104	73	46	51
103	74	47	50
104	73	46	50
101	74	50	49
100	72	53	50
102	72	48	48
101	68	49	51
101	67	49	49
102	66	48	49
102	63	46	51
103	62	45	48
101	61	49	48
102	59	46	49
103	57	47	49
103	54	47	50
102	51	48	52
103	49	45	53
101	50	48	50
101	48	49	50
101	47	49	50
102	46	47	51
101	45	48	48
104	44	46	51
103	45	45	50
100	44	51	51
105	45	46	49
105	46	48	49
103	47	50	49
103	49	52	49
103	49	53	50
107	49	49	52
109	49	47	55
107	52	52	54
110	52	49	55
111	52	49	51
112	53	49	51
112	54	48	52
114	54	47	55
113	55	50	55
112	55	51	50
111	56	53	50
114	57	49	51
117	57	46	52
118	57	47	53
112	59	53	53
118	61	48	53
117	62	51	53
116	64	53	53
119	66	49	51
117	65	52	54
118	69	50	52
118	69	50	53
116	73	51	53
115	73	52	55
117	76	48	51
118	77	47	51
115	77	50	52
117	79	48	51
115	78	48	52
115	77	48	53
114	78	50	53
112	77	52	54
113	78	49	54
114	77	47	55
114	77	46	55
112	76	50	55
113	76	45	55
109	76	51	56
108	76	50	52
108	75	49	55
106	72	51	57
106	74	48	54
103	72	51	57
103	71	49	58
102	72	48	55
97	71	52	55
95	71	55	54
94	70	54	56
93	67	53	58
90	67	55	58
91	68	50	55
90	66	51	58
87	65	53	58
87	66	52	58
86	67	53	56
85	65	52	59
84	64	52	60
82	66	52	55
79	64	55	57
76	65	58	58
77	65	55	59
78	65	52	58
74	66	56	58
73	67	55	56
72	66	56	59
72	66	55	57
69	67	56	56
65	65	59	59
64	65	58	60
65	63	55	61
64	67	55	58
63	66	54	57
61	65	55	58
59	65	56	61
58	66	56	59
55	65	58	61
54	65	56	60
54	65	56	60
51	65	58	62
52	65	56	60
51	65	56	61
52	65	54	60
50	63	56	62
50	63	58	63
53	65	53	60
53	62	55	64
56	63	49	62
55	59	56	67
56	58	55	64
57	59	56	65
57	59	56	65
61	57	53	62
64	56	50	64
62	55	54	62
63	52	55	64
63	50	56	63
65	48	55	64
64	47	58	64
67	46	56	64
71	44	52	64
70	42	55	64
72	43	55	61
73	41	55	62
76	41	54	59
80	41	52	59
81	38	52	62
84	38	52	60
85	39	54	57
85	37	55	59
88	39	54	57
90	40	55	57
94	43	51	56
93	42	54	57
95	46	54	55
96	44	53	58
99	46	52	55
100	49	51	53
101	50	52	54
102	52	52	54
102	54	52	56
103	55	53	56
104	57	50	54
104	59	49	53
101	61	55	56
103	64	53	55
102	66	55	57
103	68	53	57
103	70	53	57
104	72	52	57
103	74	54	58
105	76	51	57
105	80	50	57
105	81	53	60
105	85	51	60
104	87	53	57
105	89	50	58
107	92	50	57
105	95	53	59
103	97	56	57
106	101	52	55
104	103	54	56
104	103	55	59
105	107	52	57
104	109	56	57
105	113	53	55
103	114	55	57
105	117	53	56
102	120	57	54
103	122	53	56
104	125	54	54
101	125	58	57
102	130	55	54
102	131	56	56
101	134	56	54
99	136	59	54
99	135	58	59
99	139	58	57
99	142	56	56
98	141	57	58
97	143	57	59
96	144	58	60
96	148	58	57
97	148	54	57
95	149	57	57
93	149	59	59
93	151	60	58
95	151	55	59
92	154	58	60
91	154	58	59
90	156	58	59
89	154	57	60
88	156	57	59
87	156	56	58
85	157	57	59
86	157	57	62
85	157	56	61
82	158	61	61
82	156	60	64
83	155	58	62
81	151	59	65
81	149	57	64
79	147	61	63
79	142	60	67
79	138	60	66
79	135	60	65
79	130	58	66
79	125	61	66
80	122	61	67
80	119	60	68
79	114	63	70
81	110	61	70
79	108	63	70
83	103	60	71
84	101	60	72
86	98	60	70
87	98	61	68
86	97	61	64
85	95	66	67
87	93	66	65
90	93	61	63
91	90	62	67
93	89	64	65
96	88	62	65
95	90	65	64
98	90	62	63
101	90	61	64
101	90	62	65
106	89	58	65
107	91	57	63
107	89	60	64
111	91	56	61
113	91	56	59
111	89	60	60
117	89	55	62
118	89	56	61
120	85	58	66
124	88	52	60
127	87	52	60
130	87	49	58
128	86	54	60
130	87	54	55
133	88	54	54
132	87	57	57
138	88	51	53
140	87	51	54
140	87	53	54
143	88	53	54
147	89	50	55
149	90	50	56
149	91	54	55
151	90	53	57
153	93	51	55
154	94	52	58
153	95	55	60
156	97	52	59
157	101	50	57
156	105	53	55
156	107	54	56
160	108	51	55
161	107	52	59
161	111	54	56
165	113	51	55
163	114	54	52
167	111	49	55
169	108	47	54
166	103	52	57
170	101	49	57
166	95	55	56
169	91	53	60
168	88	50	61
169	85	50	57
167	81	52	60
165	82	54	58
168	77	51	60
167	75	51	60
167	73	51	60
166	71	51	58
164	69	56	59
164	62	55	65
